Status Checking,Credit History,Purpose,Savings Account,Employement since,Installmentrate %,Other debtors,PresentResidence,Property,Age in years,Otherinstallment Plans,Housing,Number existing Credits,Job,Number people liable,Telephone,Foreign Worker,Target,Credit Amount per Month,Sex,Status
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),car (new),500 less than or equal and 1000 DM,4 less than and equal and less than 7 years,3,None,3,"if not others options : car or other, not in savings accounts/bonds",36,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,197.16666666666666,male , divorced/separated
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,3,None,2,real estate,25,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,1,87.38095238095238,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),car (used),less than 100DM,bigger than or equal 7 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",41,None,rent,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,161.16666666666666,female , divorced/separated/married
no checking account,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,3,None,2,real estate,24,None,rent,1,unskilled-resident,1,None,yes,0,147.33333333333334,male , single
bigger than 200DM / salary assignments for at least 1 year,critical account / other credits existing (not at this bank),car (new),less than 100DM,bigger than or equal 7 years,4,None,4,unknown/no property,63,None,for free,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,78.1,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,furniture/equipment,unknown / no savings account,less than 1 year,4,None,3,real estate,27,None,rent,1,skilled employee /official,1,None,yes,1,106.88888888888889,female , divorced/separated/married
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,1 less than or equal and less than 4 years,4,None,2,if not real estate : building society savings agreement/life insurance,30,None,own,2,skilled employee /official,1,None,yes,0,176.75,male , single
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,2,real estate,40,None,own,1,unskilled-resident,1,None,yes,0,58.416666666666664,male , married/windowed
0 less than or equal and less than 200 DM,existing credits paind back duly till now,reparis,less than 100DM,1 less than or equal and less than 4 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",30,None,own,1,skilled employee /official,1,None,yes,1,53.25,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),car (used),less than 100DM,unemployed,4,None,2,"if not others options : car or other, not in savings accounts/bonds",34,None,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,155.0,male , single
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,1 less than or equal and less than 4 years,3,co-applicant,2,real estate,29,None,own,2,skilled employee /official,1,None,yes,1,291.5833333333333,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),unknown / no savings account,4 less than and equal and less than 7 years,1,None,2,"if not others options : car or other, not in savings accounts/bonds",24,None,own,1,skilled employee /official,1,None,yes,0,176.8125,female , divorced/separated/married
less than 0 DM,delay in paying off in the past,education,less than 100DM,1 less than or equal and less than 4 years,4,None,3,if not real estate : building society savings agreement/life insurance,29,stores,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,191.30555555555554,male , single
no checking account,existing credits paind back duly till now,furniture/equipment,less than 100DM,less than 1 year,2,None,3,if not real estate : building society savings agreement/life insurance,27,bank,own,2,unskilled-resident,1,None,yes,0,180.53333333333333,male , single
no checking account,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,4,None,4,unknown/no property,47,bank,for free,2,skilled employee /official,1,None,yes,0,110.22222222222223,male , single
no checking account,existing credits paind back duly till now,radio/television,100 less than or equal and < 500DM,4 less than and equal and less than 7 years,2,None,4,real estate,21,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,169.06666666666666,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),radio/television,unknown / no savings account,bigger than or equal 7 years,4,None,2,real estate,38,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,103.33333333333333,female , divorced/separated/married
no checking account,delay in paying off in the past,car (used),bigger than or equal 1000 DM,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",27,None,own,2,skilled employee /official,1,None,yes,0,319.0,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,4,None,3,real estate,66,None,own,1,unskilled-resident,1,None,yes,1,63.833333333333336,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),radio/television,unknown / no savings account,4 less than and equal and less than 7 years,4,guarantor,2,real estate,35,bank,own,3,skilled employee /official,1,"yes, registered under the customers name",yes,0,181.86666666666667,male , single
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",44,None,rent,1,unskilled-resident,1,"yes, registered under the customers name",yes,0,156.75,female , divorced/separated/married
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,car (new),bigger than or equal 1000 DM,less than 1 year,2,None,2,real estate,27,None,own,1,unemployed/unskilled-non-resident,1,None,no,0,118.16666666666667,male , married/windowed
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,4,None,1,unknown/no property,30,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,133.19444444444446,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,3,None,2,"if not others options : car or other, not in savings accounts/bonds",27,None,own,1,management/self-employed/highly qualified employee/officer,1,None,yes,0,126.51851851851852,male , single
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",22,None,own,1,skilled employee /official,1,None,yes,1,136.77777777777777,male , single
